Spawning 1 workers to process 10 transmitters ...
TIME:	Dynamic process spawning	0.30000 sec
TIME:	Common data distribution	18.05000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	19.40000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.38000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.39000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.37000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.38000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.38000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.36000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.39000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.37000 sec
TIME:	Transmitter data send (0)	0.00000 sec
TIME:	Calculation and result dump (0)	10.38000 sec
Process took 141 sec
